Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","71","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","2953","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","21.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-2.79","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","51","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","14591","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","6.1","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","710","Afrique du Sud","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.28","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","34","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","14155","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","008","Albanie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","4.3","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","008","Albanie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.37","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","48","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","012","Algérie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","15428","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","012","Algérie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","012","Algérie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.92","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","27","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","61992","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","276","Allemagne","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.57","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","020","Andorre","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","63240","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","020","Andorre","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","020","Andorre","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","1.39","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","024","Angola","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","61","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","024","Angola","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","9042","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","024","Angola","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","15.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","024","Angola","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.39","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","27","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","27199","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","028","Antigua-et-Barbuda","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.73","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","47","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","57943","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","682","Arabie saoudite","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.65","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","032","Argentine","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","35","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","032","Argentine","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","28335","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","032","Argentine","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","3.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","032","Argentine","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.16","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","051","Arménie","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","40","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","051","Arménie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","14244","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","051","Arménie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","051","Arménie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.63","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","23","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","56685","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","036","Australie","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","036","Australie","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.88","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","27","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","62612","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","040","Autriche","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","040","Autriche","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","1.03","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","53","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","19659","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","031","Azerbaïdjan","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.75","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","27","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","33050","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","044","Bahamas","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.98","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","53860","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
"FS","Données de la sécurité alimentaire","048","Bahreïn","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.96","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","78","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","6006","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","13.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","050","Bangladesh","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-1.25","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","052","Barbade","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","32","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","052","Barbade","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","18740","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","052","Barbade","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","052","Barbade","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.95","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","35","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","25504","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","112","Bélarus","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","-0.06","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","056","Belgique","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","27","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","056","Belgique","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","58555","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","056","Belgique","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","<2.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","056","Belgique","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.42","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","084","Belize","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","38","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","084","Belize","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","11575","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","084","Belize","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","5.8","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","084","Belize","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.03","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","204","Bénin","6121","Valeur","21012","Part des céréales, des racines et des tubercules dans les apports énergétiques alimentaires (%) (moyenne sur 3 ans)","20162018","2016-2018","%","67","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","204","Bénin","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","3042","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","204","Bénin","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","10.5","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","204","Bénin","6125","Valeur","21032","Stabilité politique et absence de violence/terrorisme (indice)","2017","2017","","0.03","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6126","Valeur","22013","PIB par habitant, ($ PPA internationaux constants de 2021)","2017","2017","Int$/cap","96437","X","Chiffre de source externe",""
"FS","Données de la sécurité alimentaire","060","Bermudes","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","","O","Valeur manquante",""
