Population,Croissance démographique,Disponibilité alimentaire,Disponibilité intérieure,Importations,Nourriture,Production,Consommation de poulet,Distance,Inflation,PIB par hab,Part des céréales,Sous-alimentation,Stabilité politique,Zone
36296113.0,78.88,1.53,57.0,29.0,55.0,28.0,1.52,5590.381,3.58,2953.0,71.0,21.3,-2.79,Afghanistan
57009756.0,28.52,35.69,2118.0,514.0,2035.0,1667.0,35.7,8692.812,6.5,14591.0,51.0,6.1,-0.28,Afrique du Sud
2884169.0,-7.88,16.36,47.0,38.0,47.0,13.0,16.3,1603.534,2.29,14155.0,34.0,4.3,0.37,Albanie
41389189.0,36.04,6.38,277.0,2.0,264.0,275.0,6.38,1340.39,6.66,15428.0,48.0,2.5,-0.92,Algérie
82658409.0,2.12,19.47,1739.0,842.0,1609.0,1514.0,19.47,880.187,1.44,61992.0,27.0,2.5,0.57,Allemagne
29816766.0,87.92,10.56,319.0,277.0,315.0,42.0,10.56,6510.322,29.84,9042.0,61.0,15.4,-0.39,Angola
95426.0,26.67,54.1,7.0,7.0,5.0,0.0,52.4,6708.77,1.64,27199.0,27.0,0.0,0.73,Antigua-et-Barbuda
33101178.999999996,63.1,43.36,1435.0,722.0,1435.0,616.0,43.35,4694.5,1.02,57943.0,47.0,2.5,-0.65,Arabie saoudite
43937140.0,20.32,42.24,1962.0,8.0,1856.0,2161.0,42.24,11072.25,16.046,28335.0,35.0,3.5,0.16,Argentine
2944791.0,-3.84,16.06,47.0,35.0,47.0,11.0,15.96,3434.071,1.7,14244.0,40.0,2.5,-0.63,Arménie
24584620.0,31.1,47.65,1171.0,16.0,1171.0,1269.0,47.63,16938.09,2.15,56685.0,23.0,2.5,0.88,Australie
8819901.0,10.19,18.2,173.0,110.0,160.0,148.0,18.14,1035.144,1.99,62612.0,27.0,2.5,1.03,Autriche
9845320.0,22.49,13.11,129.0,27.0,129.0,104.0,13.1,3817.547,11.15,19659.0,53.0,2.5,-0.75,Azerbaïdjan
381755.0,29.39,43.17,26.0,24.0,16.0,6.0,41.91,7209.45,1.7,33050.0,27.0,0.0,0.98,Bahamas
159685424.0,26.41,1.5,250.0,0.0,240.0,249.0,1.5,7916.79,7.16,6006.0,78.0,13.4,-1.25,Bangladesh
286232.0,5.57,46.78,17.0,2.0,13.0,15.0,45.42,6882.34,3.29,18740.0,32.0,2.5,0.95,Barbade
11419748.0,11.67,12.65,152.0,338.0,144.0,463.0,12.61,5508.6972000000005,7.603999999999999,58555.0,27.0,2.5,0.42,Belgique
375769.0,54.89,25.69,19.0,0.0,10.0,20.0,26.61,8664.439,0.59,11575.0,38.0,5.8,0.03,Belize
